,Plate 96,Well 96,Chemical name,Prestwick number,CAS number,Chemical formula,Class,Effect
425,Plate05,D06,Hycanthone,Prestw-355,3105-97-3,C20H24N2O2S,['Infectiology'],"['Antihelmintic', 'Antiparasitic']"
426,Plate05,D07,Adenosine 5'-monophosphate monohydrate,Prestw-356,18422-05-4,C10H16N5O8P,"['Cardiovascular', 'Metabolism']",['Antiarrhythmic']
427,Plate05,D08,Amoxicillin,Prestw-357,26787-78-0,C16H19N3O5S,"['Metabolism', 'Infectiology']",['Antibacterial']
428,Plate05,D09,Pemirolast potassium,Prestw-1603,100299-08-9,C10H7KN6O,['Ophthalmology'],"['Anti-inflammatory', 'Antipruritic', 'Antihistaminic']"
429,Plate05,D10,Dextromethorphan hydrobromide monohydrate,Prestw-359,6700-34-1,C18H28BrNO2,['Central Nervous System'],['Antitussive']
430,Plate05,D11,Droperidol,Prestw-360,548-73-2,C22H22FN3O2,['Central Nervous System'],['Antipsychotic']
431,Plate05,D12,DMSO,,,,,
432,Plate05,E01,DMSO,,,,,
433,Plate05,E02,Bambuterol hydrochloride,Prestw-361,81732-46-9,C18H30ClN3O5,"['Neuromuscular', 'Respiratory']","['Bronchodilator', 'Tocolytic']"
434,Plate05,E03,Betamethasone,Prestw-362,378-44-9,C22H29FO5,['Endocrinology'],"['Anti-inflammatory', 'Antipruritic', 'Immunosuppressant']"
435,Plate05,E04,Colchicine,Prestw-363,64-86-8,C22H25NO6,['Metabolism'],"['Antigout', 'Anti-inflammatory']"
436,Plate05,E05,Metergoline,Prestw-364,17692-51-2,C25H29N3O2,['Central Nervous System'],['Antiprolactin']
437,Plate05,E06,Brinzolamide,Prestw-365,138890-62-7,C12H21N3O5S3,['Metabolism'],"['Antiglaucoma', 'Diuretic']"
438,Plate05,E07,Ambroxol hydrochloride,Prestw-366,23828-92-4,C13H19Br2ClN2O,['Respiratory'],"['Expectorant', 'Mucolytic']"
439,Plate05,E08,Benfluorex,Prestw-367,23602-78-0,C19H20F3NO2,['Central Nervous System'],"['Anorectic', 'Antidiabetic', 'CNS Stimulant']"
440,Plate05,E09,Bepridil hydrochloride ,Prestw-368,74764-40-2,C24H35ClN2O,['Cardiovascular'],"['Antianginal', 'Antiarrhythmic', 'Antihypotensive', 'Vasodilator']"
441,Plate05,E10,Meloxicam,Prestw-369,71125-38-7,C14H13N3O4S2,['Metabolism'],['Anti-inflammatory']
442,Plate05,E11,Benzbromarone,Prestw-370,3562-84-3,C17H12Br2O3,['Cardiovascular'],"['Antianginal', 'Antigout', 'Antispastic', 'Uricosuric', 'Vasodilator']"
443,Plate05,E12,DMSO,,,,,
444,Plate05,F01,DMSO,,,,,
445,Plate05,F02,Ketotifen fumarate,Prestw-371,34580-14-8,C23H23NO5S,['Allergology'],['Antihistaminic']
446,Plate05,F03,Debrisoquin sulfate,Prestw-372,581-88-4,C20H28N6O4S,['Cardiovascular'],['Antihypertensive']
447,Plate05,F04,"Amethopterin (R,S)",Prestw-373,60388-53-6,C20H22N8O5,"['Immunology', 'Metabolism', 'Oncology']","['Anti-inflammatory', 'Antineoplastic', 'Immunosuppressant']"
448,Plate05,F05,Methylergometrine maleate,Prestw-374,57432-61-8,C24H29N3O6,['Neuromuscular'],"['Hemostatic', 'Oxytocic']"
449,Plate05,F06,Methiothepin maleate,Prestw-375,19728-88-2,C24H28N2O4S2,['Central Nervous System'],['Antipsychotic']
450,Plate05,F07,Clofazimine,Prestw-376,2030-63-9,C27H22Cl2N4,['Infectiology'],['Antibacterial']
451,Plate05,F08,Nafronyl oxalate,Prestw-377,3200-06-4,C26H35NO7,"['Cardiovascular', 'Neuromuscular']","['Anti-ischemic', 'Antispastic', 'Vasodilator']"
452,Plate05,F09,Bezafibrate,Prestw-378,41859-67-0,C19H20ClNO4,['Metabolism'],"['Antilipemic', 'Hypocholesterolemic', 'Lipid-lowering']"
453,Plate05,F10,Nefazodone HCl,Prestw-1152,82752-99-6,C25H33Cl2N5O2,['Central Nervous System'],['Antidepressant']
454,Plate05,F11,Clebopride maleate,Prestw-380,84370-95-6,C24H28ClN3O6,['Central Nervous System'],"['Antiemetic', 'Antispastic']"
455,Plate05,F12,DMSO,,,,,
456,Plate05,G01,DMSO,,,,,
457,Plate05,G02,Lidoflazine,Prestw-381,3416-26-0,C30H35F2N3O,['Cardiovascular'],"['Antianginal', 'Antiarrhythmic', 'Vasodilator']"
458,Plate05,G03,Betaxolol hydrochloride,Prestw-382,63659-19-8,C18H30ClNO3,"['Cardiovascular', 'Ophthalmology']","['Antiglaucoma', 'Antihypertensive']"
459,Plate05,G04,Nicardipine hydrochloride,Prestw-383,54527-84-3,C26H30ClN3O6,['Cardiovascular'],"['Antianginal', 'Antihypertensive']"
460,Plate05,G05,Probucol,Prestw-384,23288-49-5,C31H48O2S2,['Metabolism'],"['Antilipemic', 'Hypocholesterolemic']"
461,Plate05,G06,Mitoxantrone dihydrochloride,Prestw-385,70476-82-3,C22H30Cl2N4O6,['Oncology'],['Antineoplastic']
462,Plate05,G07,GBR 12909 dihydrochloride,Prestw-386,67469-78-7,C28H34Cl2F2N2O,['Central Nervous System'],['Antidepressant']
463,Plate05,G08,Carbetapentane citrate,Prestw-387,23142-01-0,C26H39NO10,"['Central Nervous System', 'Neuromuscular']","['Antispastic', 'Antitussive', 'Local anesthetic']"
464,Plate05,G09,Dequalinium dichloride,Prestw-388,522-51-0,C30H40Cl2N4,['Infectiology'],"['Antibacterial', 'Antiseptic']"
465,Plate05,G10,Ketoconazole,Prestw-389,65277-42-1,C26H28Cl2N4O4,"['Infectiology', 'Metabolism']",['Antifungal']
466,Plate05,G11,Fusidic acid sodium salt,Prestw-390,751-94-0,C31H47NaO6,"['Infectiology', 'Metabolism']",['Antibacterial']
467,Plate05,G12,DMSO,,,,,
468,Plate05,H01,DMSO,,,,,
469,Plate05,H02,Terbutaline hemisulfate,Prestw-391,23031-32-5,C24H40N2O10S,['Respiratory'],"['Antiasthmatic', 'Bronchodilator', 'Muscle relaxant']"
470,Plate05,H03,Ketanserin tartrate hydrate,Prestw-392,83846-83-7,C26H30FN3O10,['Cardiovascular'],"['Antihypertensive', 'Vasodilator']"
471,Plate05,H04,Hemicholinium bromide,Prestw-393,312-45-8,C24H34Br2N2O4,['Neuromuscular'],['Curarizing']
472,Plate05,H05,Kanamycin A sulfate,Prestw-394,25389-94-0,C18H38N4O15S,"['Infectiology', 'Metabolism']",['Antibacterial']
473,Plate05,H06,Amikacin hydrate,Prestw-395,37517-28-5,C22H47N5O15,"['Infectiology', 'Metabolism']",['Antibacterial']
474,Plate05,H07,Etoposide,Prestw-396,33419-42-0,C29H32O13,['Oncology'],['Antineoplastic']
475,Plate05,H08,"Clomiphene citrate (Z,E)",Prestw-397,50-41-9,C32H36ClNO8,['Endocrinology'],[nan]
476,Plate05,H09,Oxantel pamoate,Prestw-398,68813-55-8,C49H48N4O8,['Infectiology'],['Antihelmintic']
477,Plate05,H10,Prochlorperazine dimaleate,Prestw-399,84-02-6,C28H32ClN3O8S,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
478,Plate05,H11,Hesperidin ,Prestw-400,520-26-3,C28H34O15,['Oncology'],"['Anti-haemorrhoids', 'Antineoplastic', 'Anti-oxidant']"
479,Plate05,H12,DMSO,,,,,
480,Plate06,A01,DMSO,,,,,
481,Plate06,A02,Testosterone propionate,Prestw-401,57-85-2,C22H32O3,['Endocrinology'],['Anabolic']
482,Plate06,A03,Haloprogin,Prestw-1269,777-11-7,C9H4Cl3IO,['Central Nervous System'],"['Anesthetic', 'Antifungal']"
483,Plate06,A04,Thyroxine (L),Prestw-403,51-48-9,C15H11I4NO4,"['Endocrinology', 'Metabolism']","['Antihypothyroid', 'Antilipemic', 'Hypocholesterolemic', 'Lipid-lowering']"
484,Plate06,A05,Idebenone,Prestw-1288,58186-27-9,C19H30O5,['Oncology'],['Antineoplastic']
485,Plate06,A06,Pepstatin A,Prestw-405,26305-03-3,C34H63N5O9,"['Infectiology', 'Metabolism']",['Antiviral']
486,Plate06,A07,"Morpholinoethylamino-3-benzocyclohepta-(5,6-c)-pyridazine dihydrochloride",Prestw-406,115767-94-7,C19H26Cl2N4O,[nan],[nan]
487,Plate06,A08,Adamantamine fumarate,Prestw-407,80789-67-9,C24H38N2O4,['Infectiology'],['Antiviral']
488,Plate06,A09,Butoconazole nitrate,Prestw-408,32872-77-1,C19H18Cl3N3O3S,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antifungal']"
489,Plate06,A10,Amiodarone hydrochloride,Prestw-409,19774-82-4,C25H30ClI2NO3,['Cardiovascular'],"['Antianginal', 'Antiarrhythmic']"
490,Plate06,A11,Amphotericin B,Prestw-410,1397-89-3,C47H73NO17,['Infectiology'],"['Antibacterial', 'Antifungal']"
491,Plate06,A12,DMSO,,,,,
492,Plate06,B01,DMSO,,,,,
493,Plate06,B02,Androsterone,Prestw-411,53-41-8,C19H30O2,['Endocrinology'],['Anabolic']
494,Plate06,B03,Amifostine,Prestw-1489,20537-88-6,C5H15N2O3PS,['Diagnostic'],[nan]
495,Plate06,B04,Carbarsone,Prestw-413,121-59-5,C7H9AsN2O4,['Infectiology'],"['Antiamebic', 'Antiprotozoal']"
496,Plate06,B05,Amlodipine,Prestw-1219,88150-42-9,C20H25ClN2O5,['Cardiovascular'],['Antihypertensive']
497,Plate06,B06,Modafinil,Prestw-1147,68693-11-8,C15H15NO2S,['Central Nervous System'],['CNS Stimulant']
498,Plate06,B07,Bacampicillin hydrochloride,Prestw-416,37661-08-8,C21H28ClN3O7S,"['Infectiology', 'Metabolism']",['Antibacterial']
499,Plate06,B08,Lamivudine,Prestw-1298,134678-17-4,C8H11N3O3S,"['Infectiology', 'Metabolism']",['Antiviral']
500,Plate06,B09,Biotin,Prestw-418,58-85-5,C10H16N2O3S,['Metabolism'],[nan]
501,Plate06,B10,Bisacodyl,Prestw-419,603-50-9,C22H19NO4,['Gastroenterology'],['Laxative']
502,Plate06,B11,Erlotinib,Prestw-1242,183321-74-6,C22H23N3O4,['Oncology'],['Antineoplastic']
503,Plate06,B12,DMSO,,,,,
504,Plate06,C01,DMSO,,,,,
505,Plate06,C02,Suloctidil,Prestw-421,54063-56-8,C20H35NOS,['Neuromuscular'],"['Antiplatelet', 'Vasodilator']"
506,Plate06,C03,Zotepine,Prestw-1368,26615-21-4,C18H18ClNOS,['Central Nervous System'],['Antipsychotic']
507,Plate06,C04,Carisoprodol,Prestw-423,78-44-4,C12H24N2O4,['Central Nervous System'],"['Analgesic', 'Antipyretic', 'Muscle relaxant', 'Sedative']"
508,Plate06,C05,"Cephalosporanic acid, 7-amino",Prestw-424,957-68-6,C10H12N2O5S,"['Infectiology', 'Metabolism']",['Antibacterial']
509,Plate06,C06,Chicago sky blue 6B,Prestw-425,2610-05-1,C34H24N6Na4O16S4,['Central Nervous System'],[nan]
510,Plate06,C07,Buflomedil hydrochloride,Prestw-426,35543-24-9,C17H26ClNO4,['Cardiovascular'],['Vasodilator']
511,Plate06,C08,Dibenzepine hydrochloride,Prestw-1393,315-80-0,C18H22ClN3O,['Central Nervous System'],['Antidepressant']
512,Plate06,C09,Roxatidine Acetate HCl,Prestw-428,93793-83-0,C19H29ClN2O4,['Gastroenterology'],['Antiulcer']
513,Plate06,C10,Valacyclovir hydrochloride,Prestw-1505,124832-27-5,C13H21ClN6O4,"['Infectiology', 'Metabolism']",['Antiviral']
514,Plate06,C11,Cisapride,Prestw-430,81098-60-4,C23H29ClFN3O4,['Gastroenterology'],['Gastroprokinetic']
515,Plate06,C12,DMSO,,,,,
516,Plate06,D01,DMSO,,,,,
517,Plate06,D02,Pefloxacine,Prestw-1303,70458-92-3,C17H20FN3O3,"['Infectiology', 'Metabolism']",['Antibacterial']
518,Plate06,D03,Corticosterone,Prestw-432,50-22-6,C21H30O4,['Endocrinology'],"['Anti-inflammatory', 'Immunosuppressant']"
519,Plate06,D04,Cyanocobalamin,Prestw-433,68-19-9,C63H88CoN14O14P,['Metabolism'],['Analgesic']
520,Plate06,D05,Cefadroxil,Prestw-434,50370-12-2,C16H17N3O5S,"['Infectiology', 'Metabolism']",['Antibacterial']
521,Plate06,D06,Cyclosporin A,Prestw-435,59865-13-3,C62H111N11O12,['Immunology'],['Immunosuppressant']
522,Plate06,D07,Digitoxigenin,Prestw-436,143-62-4,C23H34O4,['Cardiovascular'],['Cardiotonic']
523,Plate06,D08,Digoxin,Prestw-437,20830-75-5,C41H64O14,['Cardiovascular'],['Cardiotonic']
524,Plate06,D09,Doxorubicin hydrochloride,Prestw-438,25316-40-9,C27H30ClNO11,"['Infectiology', 'Oncology']","['Antibacterial', 'Antineoplastic', 'Immunosuppressant']"
525,Plate06,D10,Carbimazole,Prestw-439,22232-54-8,C7H10N2O2S,['Metabolism'],['Antihyperthyroid']
526,Plate06,D11,Epiandrosterone,Prestw-440,481-29-8,C19H30O2,['Endocrinology'],['Anabolic']
527,Plate06,D12,DMSO,,,,,
528,Plate06,E01,DMSO,,,,,
529,Plate06,E02,Estradiol-17 beta,Prestw-441,50-28-2,C18H24O2,['Endocrinology'],['Antigonadotropin']
530,Plate06,E03,Clobutinol hydrochloride,Prestw-1380,1215-83-4,C14H23Cl2NO,['Central Nervous System'],['Antitussive']
531,Plate06,E04,Gabazine bromide,Prestw-443,105538-73-6,C15H18BrN3O3,['Central Nervous System'],['CNS Stimulant']
532,Plate06,E05,Oxcarbazepine,Prestw-1156,28721-07-5,C15H12N2O2,['Central Nervous System'],['Anticonvulsant']
533,Plate06,E06,Cyclobenzaprine hydrochloride,Prestw-445,6202-23-9,C20H22ClN,['Neuromuscular'],['Muscle relaxant']
534,Plate06,E07,Carteolol hydrochloride,Prestw-446,51781-21-6,C16H25ClN2O3,"['Cardiovascular', 'Ophthalmology']","['Antiglaucoma', 'Antihypertensive']"
535,Plate06,E08,Hydrocortisone base,Prestw-447,50-23-7,C21H30O5,['Endocrinology'],['Anti-inflammatory']
536,Plate06,E09,"Hydroxytacrine maleate (R,S)",Prestw-448,118909-22-1,C17H18N2O5,['Central Nervous System'],['Anti-Alzheimer']
537,Plate06,E10,Pilocarpine nitrate,Prestw-449,148-72-1,C11H17N3O5,['Ophthalmology'],['Antiglaucoma']
538,Plate06,E11,Dicloxacillin sodium salt hydrate,Prestw-450,13412-64-1,C19H18Cl2N3NaO6S,"['Infectiology', 'Metabolism']",['Antibacterial']
539,Plate06,E12,DMSO,,,,,
540,Plate06,F01,DMSO,,,,,
541,Plate06,F02,Alizapride HCl,Prestw-451,59338-87-3,C16H22ClN5O2,['Central Nervous System'],['Antiemetic']
542,Plate06,F03,Stanozolol,Prestw-1161,10418-03-8,C21H32N2O,['Endocrinology'],[nan]
543,Plate06,F04,Calcipotriene,Prestw-1257,112965-21-6,C27H40O3,"['Dermatology', 'Metabolism']",['Antipsoriatic']
544,Plate06,F05,Linezolid,Prestw-1429,165800-03-3,C16H20FN3O4,"['Infectiology', 'Metabolism']",['Antibacterial']
545,Plate06,F06,"Mebhydroline 1,5-naphtalenedisulfonate",Prestw-455,6153-33-9,C48H48N4O6S2,['Allergology'],['Antihistaminic']
546,Plate06,F07,Meclocycline sulfosalicylate,Prestw-456,73816-42-9,C29H27ClN2O14S,"['Infectiology', 'Metabolism']",['Antibacterial']
547,Plate06,F08,Meclozine dihydrochloride,Prestw-457,1104-22-9,C25H29Cl3N2,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Sedative']"
548,Plate06,F09,Melatonin,Prestw-458,73-31-4,C13H16N2O2,"['Central Nervous System', 'Endocrinology', 'Immunology']","['Anticonvulsant', 'Anti-oxidant', 'Immunostimulant']"
549,Plate06,F10,Butalbital,Prestw-1251,77-26-9,C11H16N2O3,['Central Nervous System'],"['Hypnotic', 'Sedative']"
550,Plate06,F11,Dinoprost trometamol,Prestw-460,38362-01-5,C24H45NO8,['Endocrinology'],['Oxytocic']
551,Plate06,F12,DMSO,,,,,
552,Plate06,G01,DMSO,,,,,
553,Plate06,G02,Tropisetron HCl,Prestw-461,105826-92-4,C17H21ClN2O2,['Central Nervous System'],['Antiemetic']
554,Plate06,G03,Cefixime,Prestw-462,79350-37-1,C16H15N5O7S2,"['Infectiology', 'Metabolism']",['Antibacterial']
555,Plate06,G04,Metrizamide,Prestw-463,31112-62-6,C18H22I3N3O8,['Diagnostic'],['Contrastant']
556,Plate06,G05,Quetiapine hemifumarate,Prestw-1323,111974-72-2,C46H54N6O8S2,['Central Nervous System'],['Antipsychotic']
557,Plate06,G06,Tosufloxacin hydrochloride,Prestw-1464,100490-36-6,C19H16ClF3N4O3,"['Infectiology', 'Metabolism']",['Antibacterial']
558,Plate06,G07,Efavirenz,Prestw-1400,154598-52-4,C14H9ClF3NO2,"['Infectiology', 'Metabolism']",['Antiviral']
559,Plate06,G08,Rifapentine,Prestw-1157,61379-65-5,C47H64N4O12,"['Infectiology', 'Metabolism']",['Antibacterial']
560,Plate06,G09,Neostigmine bromide,Prestw-468,114-80-7,C12H19BrN2O2,['Diagnostic'],['Anti-fatigue']
561,Plate06,G10,Niridazole,Prestw-469,61-57-4,C6H6N4O3S,"['Infectiology', 'Metabolism']","['Antihelmintic', 'Antiparasitic', 'Antiprotozoal']"
562,Plate06,G11,Ceforanide,Prestw-470,60925-61-3,C20H21N7O6S2,"['Infectiology', 'Metabolism']",['Antibacterial']
563,Plate06,G12,DMSO,,,,,
564,Plate06,H01,DMSO,,,,,
565,Plate06,H02,Vatalanib,Prestw-1358,212141-54-3,C20H15ClN4,['Oncology'],['Antineoplastic']
566,Plate06,H03,Itopride,Prestw-1295,122898-67-3,C20H26N2O4,['Metabolism'],[nan]
567,Plate06,H04,Cefotetan,Prestw-473,69712-56-7,C17H17N7O8S4,"['Infectiology', 'Metabolism']",['Antibacterial']
568,Plate06,H05,Fentiazac,Prestw-1254,18046-21-4,C17H12ClNO2S,['Metabolism'],['Anti-inflammatory']
569,Plate06,H06,Brompheniramine maleate,Prestw-475,980-71-2,C20H23BrN2O4,['Allergology'],"['Antihistaminic', 'Antipruritic', 'Antitussive', 'Sedative']"
570,Plate06,H07,Primaquine diphosphate,Prestw-476,63-45-6,C15H27N3O9P2,['Infectiology'],['Antimalarial']
571,Plate06,H08,Progesterone,Prestw-477,57-83-0,C21H30O2,['Endocrinology'],['Progestogen']
572,Plate06,H09,Felodipine,Prestw-478,72509-76-3,C18H19Cl2NO4,['Neuromuscular'],"['Antianginal', 'Antihypertensive']"
573,Plate06,H10,Raclopride,Prestw-1325,84225-95-6,C15H20Cl2N2O3,['Central Nervous System'],[nan]
574,Plate06,H11,Closantel,Prestw-1385,57808-65-8,C22H14Cl2I2N2O2,"['Infectiology', 'Metabolism']","['Antihelmintic', 'Antiparasitic']"
575,Plate06,H12,DMSO,,,,,
576,Plate07,A01,DMSO,,,,,
577,Plate07,A02,Serotonin hydrochloride,Prestw-481,153-98-0,C10H13ClN2O,"['Central Nervous System', 'Endocrinology']",['CNS Stimulant']
578,Plate07,A03,Cefotiam hydrochloride,Prestw-482,61622-34-2,C18H24ClN9O4S3,"['Infectiology', 'Metabolism']",['Antibacterial']
579,Plate07,A04,Rofecoxib,Prestw-1336,162011-90-7,C17H14O4S,['Metabolism'],['Anti-inflammatory']
580,Plate07,A05,Benperidol,Prestw-484,2062-84-2,C22H24FN3O2,['Central Nervous System'],['Antipsychotic']
581,Plate07,A06,Cefaclor hydrate,Prestw-485,70356-03-5,C15H16ClN3O5S,"['Infectiology', 'Metabolism']",['Antibacterial']
582,Plate07,A07,Colistin sulfate,Prestw-486,1264-72-8,C52H100N16O17S,['Infectiology'],['Antibacterial']
583,Plate07,A08,Daunorubicin hydrochloride,Prestw-487,23541-50-6,C27H30ClNO10,"['Infectiology', 'Oncology']","['Antibacterial', 'Antineoplastic']"
584,Plate07,A09,Dosulepin hydrochloride,Prestw-488,897-15-4,C19H22ClNS,['Central Nervous System'],"['Antidepressant', 'CNS Stimulant']"
585,Plate07,A10,Ceftazidime pentahydrate,Prestw-489,78439-06-2,C22H32N6O12S2,"['Infectiology', 'Metabolism']",['Antibacterial']
586,Plate07,A11,Iobenguane sulfate,Prestw-490,103346-16-3,C8H12IN3O4S,['Oncology'],['Antineoplastic']
587,Plate07,A12,DMSO,,,,,
588,Plate07,B01,DMSO,,,,,
589,Plate07,B02,Metixene hydrochloride,Prestw-491,1553-34-0,C20H24ClNS,"['Central Nervous System', 'Neuromuscular']","['Antiparkinsonian', 'Antispastic']"
590,Plate07,B03,Nitrofural,Prestw-492,59-87-0,C6H6N4O4,['Infectiology'],['Antibacterial']
591,Plate07,B04,Omeprazole,Prestw-493,73590-58-6,C17H19N3O3S,['Gastroenterology'],['Antiulcer']
592,Plate07,B05,Propylthiouracil,Prestw-494,51-52-5,C7H10N2OS,['Metabolism'],['Antihyperthyroid']
593,Plate07,B06,Terconazole,Prestw-495,67915-31-5,C26H31Cl2N5O3,"['Infectiology', 'Metabolism']",['Antifungal']
594,Plate07,B07,Tiaprofenic acid,Prestw-496,33005-95-7,C14H12O3S,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
595,Plate07,B08,Vancomycin hydrochloride,Prestw-497,1404-93-9,C66H76Cl3N9O24,"['Infectiology', 'Metabolism']",['Antibacterial']
596,Plate07,B09,Artemisinin,Prestw-498,63968-64-9,C15H22O5,['Infectiology'],['Antimalarial']
597,Plate07,B10,Propafenone hydrochloride,Prestw-499,34183-22-7,C21H28ClNO3,['Cardiovascular'],['Antiarrhythmic']
598,Plate07,B11,Ethamivan,Prestw-500,304-84-7,C12H17NO3,['Central Nervous System'],"['Analeptic', 'CNS stimulant']"
599,Plate07,B12,DMSO,,,,,
600,Plate07,C01,DMSO,,,,,
601,Plate07,C02,Vigabatrin,Prestw-501,60643-86-9,C6H11NO2,['Central Nervous System'],"['Anticonvulsant', 'Antiepileptic']"
602,Plate07,C03,Biperiden hydrochloride,Prestw-502,1235-82-1,C21H30ClNO,['Central Nervous System'],['Antiparkinsonian']
603,Plate07,C04,Cetirizine dihydrochloride,Prestw-503,83881-52-1,C21H27Cl3N2O3,['Allergology'],"['Antihistaminic', 'Antipruritic']"
604,Plate07,C05,Etifenin,Prestw-504,63245-28-3,C16H22N2O5,['Diagnostic'],['Chemosensitizer']
605,Plate07,C06,"Metaproterenol sulfate, orciprenaline sulfate",Prestw-505,5874-97-5,C22H36N2O10S,['Respiratory'],['Bronchodilator']
606,Plate07,C07,Sisomicin sulfate,Prestw-506,53179-09-2,C19H39N5O11S,"['Infectiology', 'Metabolism']",['Antibacterial']
607,Plate07,C08,Sibutramine HCl,Prestw-1159,125494-59-9,C17H27Cl2N,['Central Nervous System'],[nan]
608,Plate07,C09,Acenocoumarol,Prestw-110,152-72-7,C19H15NO6,['Hematology'],['Anticoagulant']
609,Plate07,C10,Bromperidol,Prestw-509,10457-90-6,C21H23BrFNO2,['Central Nervous System'],['Antipsychotic']
610,Plate07,C11,Cyclizine hydrochloride,Prestw-510,303-25-3,C18H23ClN2,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Antivertigo', 'Sedative']"
611,Plate07,C12,DMSO,,,,,
612,Plate07,D01,DMSO,,,,,
613,Plate07,D02,Fluoxetine hydrochloride,Prestw-511,59333-67-4,C17H19ClF3NO,['Central Nervous System'],['Antidepressant']
614,Plate07,D03,Iohexol,Prestw-512,66108-95-0,C19H26I3N3O9,['Diagnostic'],['Contrastant']
615,Plate07,D04,Norcyclobenzaprine,Prestw-513,303-50-4,C19H19N,['Gastroenterology'],['Antiulcer']
616,Plate07,D05,Pyrazinamide,Prestw-514, 98-96-4,C5H5N3O,"['Infectiology', 'Metabolism']",['Antibacterial']
617,Plate07,D06,Trimethadione,Prestw-515,127-48-0,C6H9NO3,['Central Nervous System'],"['Anticonvulsant', 'Antiepileptic']"
618,Plate07,D07,Lovastatin,Prestw-516,75330-75-5,C24H36O5,['Metabolism'],['Hypocholesterolemic']
619,Plate07,D08,Nystatine,Prestw-517,1400-61-9,C47H75NO17,['Infectiology'],['Antifungal']
620,Plate07,D09,Budesonide,Prestw-518,51333-22-3,C25H34O6,['Endocrinology'],['Anti-inflammatory']
621,Plate07,D10,Imipenem,Prestw-519,74431-23-5,C12H17N3O4S,"['Infectiology', 'Metabolism']",['Antibacterial']
622,Plate07,D11,Sulfasalazine,Prestw-520,599-79-1,C18H14N4O5S,"['Infectiology', 'Metabolism']","['Antibacterial', 'Anti-inflammatory']"
623,Plate07,D12,DMSO,,,,,
624,Plate07,E01,DMSO,,,,,
625,Plate07,E02,Lofexidine,Prestw-1430,31036-80-3,C11H12Cl2N2O,['Cardiovascular'],['Antihypertensive']
626,Plate07,E03,Thiostrepton,Prestw-522,1393-48-2,C72H85N19O18S5,['Infectiology'],['Antibacterial']
627,Plate07,E04,Miglitol,Prestw-1169,72432-03-2,C8H17NO5,"['Endocrinology', 'Metabolism']",['Antidiabetic']
628,Plate07,E05,Tiabendazole,Prestw-524,148-79-8,C10H7N3S,"['Infectiology', 'Metabolism']","['Antifungal', 'Antihelmintic', 'Antiparasitic']"
629,Plate07,E06,Rifampicin,Prestw-525,13292-46-1,C43H58N4O12,"['Infectiology', 'Metabolism']",['Antibacterial']
630,Plate07,E07,Ethionamide,Prestw-526,536-33-4,C8H10N2S,"['Infectiology', 'Metabolism']",['Antibacterial']
631,Plate07,E08,Tenoxicam,Prestw-527,59804-37-4,C13H11N3O4S2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
632,Plate07,E09,Triflusal,Prestw-528,322-79-2,C10H7F3O4,['Hematology'],"['Anticoagulant', 'Antiplatelet']"
633,Plate07,E10,Mesoridazine besylate,Prestw-529,32672-69-8,C27H32N2O4S3,['Central Nervous System'],['Antipsychotic']
634,Plate07,E11,Trolox,Prestw-530,53188-07-1,C14H18O4,['Metabolism'],['Anti-oxidant']
635,Plate07,E12,DMSO,,,,,
636,Plate07,F01,DMSO,,,,,
637,Plate07,F02,Pirenperone,Prestw-531, 75444-65-4,C23H24FN3O2,['Central Nervous System'],[nan]
638,Plate07,F03,"Isoquinoline, 6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro, hydrochloride",Prestw-532,2984-97-0,C12H18ClNO2,[nan],[nan]
639,Plate07,F04,Phenacetin,Prestw-533,62-44-2,C10H13NO2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Antipyretic']"
640,Plate07,F05,Atovaquone,Prestw-534,95233-18-4,C22H19ClO3,['Infectiology'],"['Antimalarial', 'Antiprotozoal']"
641,Plate07,F06,Methoxamine hydrochloride,Prestw-535,61-16-5,C11H18ClNO3,['Cardiovascular'],"['Antihypotensive', 'Vasoconstrictor']"
642,Plate07,F07,(S)-(-)-Atenolol,Prestw-953,93379-54-5,C14H22N2O3,['Cardiovascular'],"['Antianginal', 'Antiarrhythmic', 'Antihypertensive']"
643,Plate07,F08,Piracetam,Prestw-537,7491-74-9,C6H10N2O2,['Central Nervous System'],['CNS Stimulant']
644,Plate07,F09,Phenindione,Prestw-538,83-12-5,C15H10O2,['Hematology'],['Anticoagulant']
645,Plate07,F10,Thiocolchicoside,Prestw-539,602-41-5,C27H33NO10S,['Central Nervous System'],"['Antispastic', 'Muscle relaxant']"
646,Plate07,F11,Clorsulon,Prestw-540,60200-06-8,C8H8Cl3N3O4S2,"['Infectiology', 'Metabolism']",['Antihelmintic']
647,Plate07,F12,DMSO,,,,,
648,Plate07,G01,DMSO,,,,,
649,Plate07,G02,Ciclopirox ethanolamine,Prestw-541,41621-49-2,C14H24N2O3,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antifungal']"
